year,time,country,country_code,2021_population,net_migration,rural_population,urban_population
2021,YR2021,Afghanistan,AFG,40000412,-548784,29474704,10525708
2021,YR2021,Albania,ALB,2811666,-32848,1041188,1770478
2021,YR2021,Algeria,DZA,44761099,-10803,11521059,33240040
2021,YR2021,American Samoa,ASM,49225,-1333,6316,42909
2021,YR2021,Andorra,AND,78364,1514,9515,68849
2021,YR2021,Angola,AGO,34532429,29094,11236852,23295577
2021,YR2021,Antigua and Barbuda,ATG,92349,0,69834,22515
2021,YR2021,Argentina,ARG,45312281,314,3521217,41791064
2021,YR2021,Armenia,ARM,2962300,-19457,1083283,1879017
2021,YR2021,Aruba,ABW,107700,503,60456,47244
2021,YR2021,Australia,AUS,25685412,116768,3502976,22182436
2021,YR2021,Austria,AUT,8955797,52150,3672325,5283472
2021,YR2021,Azerbaijan,AZE,10137750,1073,4381941,5755809
2021,YR2021,"Bahamas, The",BHS,396373,481,65937,330436
2021,YR2021,Bahrain,BHR,1504365,11882,156123,1348242
2021,YR2021,Bangladesh,BGD,167658854,-994722,102362437,65296417
2021,YR2021,Barbados,BRB,282147,-28,193987,88160
2021,YR2021,Belarus,BLR,9302585,-33954,1868889,7433696
2021,YR2021,Belgium,BEL,11586195,24017,218168,11368027
2021,YR2021,Belize,BLZ,395346,-173,212692,182654
2021,YR2021,Benin,BEN,13413417,1729,6844598,6568819
2021,YR2021,Bermuda,BMU,64648,286,0,64648
2021,YR2021,Bhutan,BTN,775442,287,441940,333502
2021,YR2021,Bolivia,BOL,11937360,-4663,3524506,8412854
2021,YR2021,Bosnia and Herzegovina,BIH,3244907,-25865,1641112,1603795
2021,YR2021,Botswana,BWA,2401441,-4083,682970,1718471
2021,YR2021,Brazil,BRA,209550294,-208581,26577264,182973030
2021,YR2021,British Virgin Islands,VGB,37809,326,19313,18496
2021,YR2021,Brunei Darussalam,BRN,451721,0,96876,354845
2021,YR2021,Bulgaria,BGR,6507301,11756,1560125,4947176
2021,YR2021,Burkina Faso,BFA,21995243,-13079,15123929,6871314
2021,YR2021,Burundi,BDI,12965481,-14415,11142794,1822687
2021,YR2021,Cabo Verde,CPV,516649,0,169967,346682
2021,YR2021,Cambodia,KHM,16974305,-27025,12787083,4187222
2021,YR2021,Cameroon,CMR,26915758,-9888,11264783,15650975
2021,YR2021,Canada,CAN,38239864,198867,7015868,31223996
2021,YR2021,Cayman Islands,CYM,70108,965,0,70108
2021,YR2021,Central African Republic,CAF,5112100,-85646,2931892,2180208
2021,YR2021,Chad,TCD,17828273,74509,13588531,4239742
2021,YR2021,Channel Islands,CHI,166741,933,115031,51710
2021,YR2021,Chile,CHL,19456334,65480,2370365,17085969
2021,YR2021,China,CHN,1412360000,-379749,529465517,882894483
2021,YR2021,Colombia,COL,51188173,199070,9346960,41841213
2021,YR2021,Comoros,COM,818174,-1766,575888,242286
2021,YR2021,"Congo, Dem. Rep.",COD,99148932,-64639,53307423,45841509
2021,YR2021,"Congo, Rep.",COG,5892183,-4476,1868824,4023359
2021,YR2021,Costa Rica,CRI,5059988,1018,939893,4120095
2021,YR2021,Cote d'Ivoire,CIV,29639736,1322,14173722,15466014
2021,YR2021,Croatia,HRV,3878981,-4517,1633904,2245077
2021,YR2021,Cuba,CUB,11122168,-11976,2525622,8596546
2021,YR2021,Curacao,CUW,152369,503,16703,135666
2021,YR2021,Cyprus,CYP,1317309,9341,436609,880700
2021,YR2021,Czechia,CZE,10505772,4111,2709018,7796754
2021,YR2021,Denmark,DNK,5856733,26887,688752,5167981
