country_name,country_code,year,population,area_km2,density_km2
Afghanistan,AFG,2020,39068979,652230,59.9
Afghanistan,AFG,2021,40000412,652230,61.3
Afghanistan,AFG,2022,40578842,652230,62.2
Afghanistan,AFG,2023,41454761,652230,63.6
Afghanistan,AFG,2024,42647492,652230,65.4
Albania,ALB,2020,2837849,28748,98.7
Albania,ALB,2021,2811666,28748,97.8
Albania,ALB,2022,2777689,28748,96.6
Albania,ALB,2023,2745972,28748,95.5
Albania,ALB,2024,2714617,28748,94.4
Algeria,DZA,2020,44042091,2381741,18.5
Algeria,DZA,2021,44761099,2381741,18.8
Algeria,DZA,2022,45477389,2381741,19.1
Algeria,DZA,2023,46164219,2381741,19.4
Algeria,DZA,2024,46814308,2381741,19.7
American Samoa,ASM,2020,49761,199,250.1
American Samoa,ASM,2021,49225,199,247.4
American Samoa,ASM,2022,48342,199,242.9
American Samoa,ASM,2023,47521,199,238.8
American Samoa,ASM,2024,46765,199,235
Andorra,AND,2020,77380,468,165.3
Andorra,AND,2021,78364,468,167.4
Andorra,AND,2022,79705,468,170.3
Andorra,AND,2023,80856,468,172.8
Andorra,AND,2024,81938,468,175.1
Angola,AGO,2020,33451132,1246700,26.8
Angola,AGO,2021,34532429,1246700,27.7
Angola,AGO,2022,35635029,1246700,28.6
Angola,AGO,2023,36749906,1246700,29.5
Angola,AGO,2024,37885849,1246700,30.4
Antigua and Barbuda,ATG,2020,91846,442,207.8
Antigua and Barbuda,ATG,2021,92349,442,208.9
Antigua and Barbuda,ATG,2022,92840,442,210
Antigua and Barbuda,ATG,2023,93316,442,211.1
Antigua and Barbuda,ATG,2024,93772,442,212.2
Argentina,ARG,2020,45191965,2780400,16.3
Argentina,ARG,2021,45312281,2780400,16.3
Argentina,ARG,2022,45407904,2780400,16.3
Argentina,ARG,2023,45538401,2780400,16.4
Argentina,ARG,2024,45696159,2780400,16.4
Armenia,ARM,2020,2961500,29743,99.6
Armenia,ARM,2021,2962300,29743,99.6
Armenia,ARM,2022,2969200,29743,99.8
Armenia,ARM,2023,2964300,29743,99.7
Armenia,ARM,2024,3033500,29743,102
Aruba,ABW,2020,108587,180,603.3
Aruba,ABW,2021,107700,180,598.3
Aruba,ABW,2022,107310,180,596.2
Aruba,ABW,2023,107359,180,596.4
Aruba,ABW,2024,107624,180,597.9
Australia,AUS,2020,25649248,7692024,3.3
Australia,AUS,2021,25685412,7692024,3.3
Australia,AUS,2022,26014399,7692024,3.4
Australia,AUS,2023,26652777,7692024,3.5
Australia,AUS,2024,27204809,7692024,3.5
