country,region,date,new_cases,total_cases,new_deaths,total_deaths
Albania,Europe,2021-01-01,581.0,57727,4.0,1174
Albania,Europe,2021-01-02,589.0,58316,7.0,1181
Albania,Europe,2021-01-03,407.0,58723,5.0,1186
Albania,Europe,2021-01-04,268.0,58991,4.0,1190
Albania,Europe,2021-01-05,447.0,59438,3.0,1193
Albania,Europe,2021-01-06,185.0,59623,6.0,1199
Albania,Europe,2021-01-07,660.0,60283,11.0,1210
Albania,Europe,2021-01-08,725.0,61008,7.0,1217
Albania,Europe,2021-01-09,697.0,61705,6.0,1223
Albania,Europe,2021-01-10,673.0,62378,7.0,1230
Albania,Europe,2021-01-11,655.0,63033,3.0,1233
Albania,Europe,2021-01-12,562.0,63595,8.0,1241
Albania,Europe,2021-01-13,376.0,63971,6.0,1247
Albania,Europe,2021-01-14,656.0,64627,5.0,1252
Albania,Europe,2021-01-15,707.0,65334,4.0,1256
Albania,Europe,2021-01-16,660.0,65994,5.0,1261
Albania,Europe,2021-01-17,641.0,66635,4.0,1265
Albania,Europe,2021-01-18,581.0,67216,5.0,1270
Albania,Europe,2021-01-19,474.0,67690,7.0,1277
Albania,Europe,2021-01-20,292.0,67982,4.0,1281
Albania,Europe,2021-01-21,586.0,68568,6.0,1287
Albania,Europe,2021-01-22,670.0,69238,4.0,1291
Albania,Europe,2021-01-23,678.0,69916,5.0,1296
Albania,Europe,2021-01-24,739.0,70655,7.0,1303
Albania,Europe,2021-01-25,786.0,71441,7.0,1310
Albania,Europe,2021-01-26,833.0,72274,5.0,1315
Albania,Europe,2021-01-27,538.0,72812,9.0,1324
Albania,Europe,2021-01-28,879.0,73691,8.0,1332
Albania,Europe,2021-01-29,876.0,74567,7.0,1339
Albania,Europe,2021-01-30,887.0,75454,11.0,1350
Albania,Europe,2021-01-31,896.0,76350,8.0,1358
Albania,Europe,2021-02-01,901.0,77251,11.0,1369
Albania,Europe,2021-02-02,876.0,78127,11.0,1380
Albania,Europe,2021-02-03,865.0,78992,13.0,1393
Albania,Europe,2021-02-04,942.0,79934,5.0,1398
Albania,Europe,2021-02-05,1007.0,80941,6.0,1404
Albania,Europe,2021-02-06,1052.0,81993,14.0,1418
Albania,Europe,2021-02-07,1089.0,83082,15.0,1433
Albania,Europe,2021-02-08,1130.0,84212,13.0,1446
Albania,Europe,2021-02-09,1124.0,85336,14.0,1460
Albania,Europe,2021-02-10,953.0,86289,12.0,1472
Albania,Europe,2021-02-11,1239.0,87528,16.0,1488
Albania,Europe,2021-02-12,1143.0,88671,15.0,1503
Albania,Europe,2021-02-13,1105.0,89776,14.0,1517
Albania,Europe,2021-02-14,1059.0,90835,14.0,1531
Albania,Europe,2021-02-15,1152.0,91987,12.0,1543
Albania,Europe,2021-02-16,1088.0,93075,12.0,1555
Albania,Europe,2021-02-17,775.0,93850,12.0,1567
Albania,Europe,2021-02-18,801.0,94651,15.0,1582
Albania,Europe,2021-02-19,1075.0,95726,18.0,1600
Albania,Europe,2021-02-20,1112.0,96838,17.0,1617
Albania,Europe,2021-02-21,1071.0,97909,19.0,1636
Albania,Europe,2021-02-22,1153.0,99062,17.0,1653
Albania,Europe,2021-02-23,1184.0,100246,13.0,1666
Albania,Europe,2021-02-24,1039.0,101285,15.0,1681
Albania,Europe,2021-02-25,1021.0,102306,15.0,1696
Albania,Europe,2021-02-26,1021.0,103327,19.0,1715
Albania,Europe,2021-02-27,986.0,104313,21.0,1736
Albania,Europe,2021-02-28,916.0,105229,20.0,1756
Albania,Europe,2021-03-01,986.0,106215,19.0,1775
Albania,Europe,2021-03-02,952.0,107167,21.0,1796
Albania,Europe,2021-03-03,764.0,107931,20.0,1816
Albania,Europe,2021-03-04,892.0,108823,19.0,1835
Albania,Europe,2021-03-05,851.0,109674,21.0,1856
Albania,Europe,2021-03-06,847.0,110521,20.0,1876
Albania,Europe,2021-03-07,780.0,111301,21.0,1897
Albania,Europe,2021-03-08,777.0,112078,21.0,1918
Albania,Europe,2021-03-09,819.0,112897,21.0,1939
Albania,Europe,2021-03-10,683.0,113580,17.0,1956
Albania,Europe,2021-03-11,629.0,114209,13.0,1969
Albania,Europe,2021-03-12,631.0,114840,17.0,1986
Albania,Europe,2021-03-13,602.0,115442,16.0,2002
Albania,Europe,2021-03-14,681.0,116123,16.0,2018
Albania,Europe,2021-03-15,698.0,116821,12.0,2030
Albania,Europe,2021-03-16,653.0,117474,15.0,2045
Albania,Europe,2021-03-17,543.0,118017,15.0,2060
Albania,Europe,2021-03-18,475.0,118492,17.0,2077
Albania,Europe,2021-03-19,446.0,118938,15.0,2092
Albania,Europe,2021-03-20,590.0,119528,14.0,2106
Albania,Europe,2021-03-21,494.0,120022,16.0,2122
Albania,Europe,2021-03-22,519.0,120541,11.0,2133
Albania,Europe,2021-03-23,659.0,121200,4.0,2137
Albania,Europe,2021-03-24,344.0,121544,8.0,2145
Albania,Europe,2021-03-25,303.0,121847,11.0,2156
Albania,Europe,2021-03-26,448.0,122295,15.0,2171
Albania,Europe,2021-03-27,472.0,122767,13.0,2184
Albania,Europe,2021-03-28,449.0,123216,8.0,2192
Albania,Europe,2021-03-29,425.0,123641,12.0,2204
Albania,Europe,2021-03-30,493.0,124134,6.0,2210
Albania,Europe,2021-03-31,285.0,124419,6.0,2216
Albania,Europe,2021-04-01,304.0,124723,11.0,2227
Albania,Europe,2021-04-02,434.0,125157,8.0,2235
Albania,Europe,2021-04-03,349.0,125506,6.0,2241
Albania,Europe,2021-04-04,336.0,125842,6.0,2247
Albania,Europe,2021-04-05,341.0,126183,9.0,2256
Albania,Europe,2021-04-06,348.0,126531,9.0,2265
Albania,Europe,2021-04-07,264.0,126795,9.0,2274
Albania,Europe,2021-04-08,141.0,126936,9.0,2283
Albania,Europe,2021-04-09,256.0,127192,8.0,2291
Albania,Europe,2021-04-10,317.0,127509,6.0,2297
Albania,Europe,2021-04-11,286.0,127795,7.0,2304
Albania,Europe,2021-04-12,360.0,128155,6.0,2310
Albania,Europe,2021-04-13,238.0,128393,7.0,2317
Albania,Europe,2021-04-14,125.0,128518,4.0,2321
Albania,Europe,2021-04-15,234.0,128752,5.0,2326
Albania,Europe,2021-04-16,207.0,128959,5.0,2331
Albania,Europe,2021-04-17,169.0,129128,4.0,2335
Albania,Europe,2021-04-18,179.0,129307,2.0,2337
Albania,Europe,2021-04-19,149.0,129456,3.0,2340
Albania,Europe,2021-04-20,138.0,129594,2.0,2342
Albania,Europe,2021-04-21,100.0,129694,5.0,2347
Albania,Europe,2021-04-22,148.0,129842,6.0,2353
Albania,Europe,2021-04-23,138.0,129980,5.0,2358
Albania,Europe,2021-04-24,134.0,130114,6.0,2364
Albania,Europe,2021-04-25,156.0,130270,3.0,2367
Albania,Europe,2021-04-26,139.0,130409,5.0,2372
Albania,Europe,2021-04-27,128.0,130537,6.0,2378
Albania,Europe,2021-04-28,69.0,130606,1.0,2379
Albania,Europe,2021-04-29,130.0,130736,4.0,2383
Albania,Europe,2021-04-30,123.0,130859,3.0,2386
Albania,Europe,2021-05-01,118.0,130977,3.0,2389
Albania,Europe,2021-05-02,108.0,131085,5.0,2394
Albania,Europe,2021-05-03,100.0,131185,2.0,2396
Albania,Europe,2021-05-04,53.0,131238,1.0,2397
Albania,Europe,2021-05-05,38.0,131276,2.0,2399
Albania,Europe,2021-05-06,51.0,131327,3.0,2402
Albania,Europe,2021-05-07,92.0,131419,1.0,2403
Albania,Europe,2021-05-08,91.0,131510,3.0,2406
Albania,Europe,2021-05-09,67.0,131577,2.0,2408
Albania,Europe,2021-05-10,89.0,131666,3.0,2411
Albania,Europe,2021-05-11,57.0,131723,1.0,2412
Albania,Europe,2021-05-12,30.0,131753,4.0,2416
Albania,Europe,2021-05-13,50.0,131803,4.0,2420
Albania,Europe,2021-05-14,42.0,131845,3.0,2423
Albania,Europe,2021-05-15,45.0,131890,3.0,2426
Albania,Europe,2021-05-16,49.0,131939,1.0,2427
Albania,Europe,2021-05-17,39.0,131978,2.0,2429
Albania,Europe,2021-05-18,37.0,132015,3.0,2432
Albania,Europe,2021-05-19,17.0,132032,3.0,2435
Albania,Europe,2021-05-20,39.0,132071,1.0,2436
Albania,Europe,2021-05-21,24.0,132095,2.0,2438
Albania,Europe,2021-05-22,23.0,132118,2.0,2440
Albania,Europe,2021-05-23,35.0,132153,1.0,2441
Albania,Europe,2021-05-24,23.0,132176,1.0,2442
Albania,Europe,2021-05-25,33.0,132209,2.0,2444
Albania,Europe,2021-05-26,6.0,132215,1.0,2445
Albania,Europe,2021-05-27,14.0,132229,2.0,2447
Albania,Europe,2021-05-28,15.0,132244,0.0,2447
Albania,Europe,2021-05-29,20.0,132264,0.0,2447
Albania,Europe,2021-05-30,21.0,132285,1.0,2448
Albania,Europe,2021-05-31,12.0,132297,1.0,2449
Albania,Europe,2021-06-01,12.0,132309,1.0,2450
Albania,Europe,2021-06-02,6.0,132315,1.0,2451
Albania,Europe,2021-06-03,22.0,132337,0.0,2451
Albania,Europe,2021-06-04,14.0,132351,0.0,2451
Albania,Europe,2021-06-05,9.0,132360,0.0,2451
Albania,Europe,2021-06-06,12.0,132372,0.0,2451
Albania,Europe,2021-06-07,2.0,132374,0.0,2451
Albania,Europe,2021-06-08,5.0,132379,0.0,2451
Albania,Europe,2021-06-09,5.0,132384,1.0,2452
Albania,Europe,2021-06-10,13.0,132397,0.0,2452
Albania,Europe,2021-06-11,18.0,132415,0.0,2452
Albania,Europe,2021-06-12,11.0,132426,0.0,2452
Albania,Europe,2021-06-13,11.0,132437,1.0,2453
Albania,Europe,2021-06-14,12.0,132449,0.0,2453
Albania,Europe,2021-06-15,10.0,132459,0.0,2453
Albania,Europe,2021-06-16,2.0,132461,0.0,2453
Albania,Europe,2021-06-17,8.0,132469,1.0,2454
Albania,Europe,2021-06-18,7.0,132476,0.0,2454
Albania,Europe,2021-06-19,5.0,132481,0.0,2454
Albania,Europe,2021-06-20,3.0,132484,0.0,2454
Albania,Europe,2021-06-21,4.0,132488,0.0,2454
Albania,Europe,2021-06-22,2.0,132490,0.0,2454
Albania,Europe,2021-06-23,1.0,132491,1.0,2455
Albania,Europe,2021-06-24,5.0,132496,0.0,2455
Albania,Europe,2021-06-25,1.0,132497,0.0,2455
Albania,Europe,2021-06-26,2.0,132499,0.0,2455
Albania,Europe,2021-06-27,7.0,132506,0.0,2455
Albania,Europe,2021-06-28,3.0,132509,1.0,2456
Albania,Europe,2021-06-29,3.0,132512,0.0,2456
Albania,Europe,2021-06-30,1.0,132513,0.0,2456
Albania,Europe,2021-07-01,1.0,132514,0.0,2456
Albania,Europe,2021-07-02,7.0,132521,0.0,2456
Albania,Europe,2021-07-03,2.0,132523,0.0,2456
Albania,Europe,2021-07-04,3.0,132526,0.0,2456
Albania,Europe,2021-07-05,8.0,132534,0.0,2456
Albania,Europe,2021-07-06,1.0,132535,0.0,2456
Albania,Europe,2021-07-07,2.0,132537,0.0,2456
Albania,Europe,2021-07-08,7.0,132544,0.0,2456
Albania,Europe,2021-07-09,13.0,132557,0.0,2456
Albania,Europe,2021-07-10,8.0,132565,0.0,2456
Albania,Europe,2021-07-11,15.0,132580,0.0,2456
Albania,Europe,2021-07-12,7.0,132587,0.0,2456
Albania,Europe,2021-07-13,5.0,132592,0.0,2456
Albania,Europe,2021-07-14,5.0,132597,0.0,2456
Albania,Europe,2021-07-15,11.0,132608,0.0,2456
Albania,Europe,2021-07-16,8.0,132616,0.0,2456
Albania,Europe,2021-07-17,13.0,132629,0.0,2456
Albania,Europe,2021-07-18,18.0,132647,0.0,2456
Albania,Europe,2021-07-19,18.0,132665,0.0,2456
Albania,Europe,2021-07-20,21.0,132686,0.0,2456
Albania,Europe,2021-07-21,11.0,132697,0.0,2456
Albania,Europe,2021-07-22,43.0,132740,0.0,2456
Albania,Europe,2021-07-23,23.0,132763,0.0,2456
Albania,Europe,2021-07-24,34.0,132797,0.0,2456
Albania,Europe,2021-07-25,31.0,132828,0.0,2456
Albania,Europe,2021-07-26,25.0,132853,0.0,2456
Albania,Europe,2021-07-27,22.0,132875,0.0,2456
Albania,Europe,2021-07-28,16.0,132891,0.0,2456
Albania,Europe,2021-07-29,31.0,132922,0.0,2456
Albania,Europe,2021-07-30,30.0,132952,1.0,2457
Albania,Europe,2021-07-31,47.0,132999,0.0,2457
Albania,Europe,2021-08-01,37.0,133036,0.0,2457
Albania,Europe,2021-08-02,45.0,133081,0.0,2457
Albania,Europe,2021-08-03,40.0,133121,0.0,2457
Albania,Europe,2021-08-04,25.0,133146,0.0,2457
Albania,Europe,2021-08-05,65.0,133211,0.0,2457
Albania,Europe,2021-08-06,99.0,133310,0.0,2457
Albania,Europe,2021-08-07,132.0,133442,0.0,2457
Albania,Europe,2021-08-08,149.0,133591,1.0,2458
Albania,Europe,2021-08-09,139.0,133730,1.0,2459
Albania,Europe,2021-08-10,182.0,133912,0.0,2459
Albania,Europe,2021-08-11,69.0,133981,1.0,2460
Albania,Europe,2021-08-12,220.0,134201,0.0,2460
Albania,Europe,2021-08-13,286.0,134487,0.0,2460
Albania,Europe,2021-08-14,274.0,134761,0.0,2460
Albania,Europe,2021-08-15,379.0,135140,1.0,2461
Albania,Europe,2021-08-16,410.0,135550,2.0,2463
Albania,Europe,2021-08-17,397.0,135947,1.0,2464
Albania,Europe,2021-08-18,200.0,136147,2.0,2466
Albania,Europe,2021-08-19,451.0,136598,2.0,2468
Albania,Europe,2021-08-20,477.0,137075,3.0,2471
Albania,Europe,2021-08-21,522.0,137597,2.0,2473
Albania,Europe,2021-08-22,535.0,138132,2.0,2475
Albania,Europe,2021-08-23,658.0,138790,2.0,2477
Albania,Europe,2021-08-24,534.0,139324,1.0,2478
Albania,Europe,2021-08-25,397.0,139721,0.0,2478
Albania,Europe,2021-08-26,800.0,140521,2.0,2480
Albania,Europe,2021-08-27,844.0,141365,3.0,2483
Albania,Europe,2021-08-28,888.0,142253,3.0,2486
Albania,Europe,2021-08-29,921.0,143174,1.0,2487
Albania,Europe,2021-08-30,905.0,144079,3.0,2490
Albania,Europe,2021-08-31,768.0,144847,2.0,2492
Albania,Europe,2021-09-01,486.0,145333,3.0,2495
Albania,Europe,2021-09-02,1054.0,146387,3.0,2498
Albania,Europe,2021-09-03,982.0,147369,3.0,2501
Albania,Europe,2021-09-04,853.0,148222,4.0,2505
Albania,Europe,2021-09-05,895.0,149117,3.0,2508
Albania,Europe,2021-09-06,984.0,150101,4.0,2512
Albania,Europe,2021-09-07,896.0,150997,3.0,2515
Albania,Europe,2021-09-08,502.0,151499,4.0,2519
Albania,Europe,2021-09-09,740.0,152239,4.0,2523
Albania,Europe,2021-09-10,1079.0,153318,5.0,2528
Albania,Europe,2021-09-11,998.0,154316,3.0,2531
Albania,Europe,2021-09-12,977.0,155293,4.0,2535
Albania,Europe,2021-09-13,869.0,156162,4.0,2539
Albania,Europe,2021-09-14,864.0,157026,4.0,2543
Albania,Europe,2021-09-15,410.0,157436,5.0,2548
Albania,Europe,2021-09-16,995.0,158431,5.0,2553
Albania,Europe,2021-09-17,992.0,159423,4.0,2557
Albania,Europe,2021-09-18,942.0,160365,6.0,2563
Albania,Europe,2021-09-19,959.0,161324,6.0,2569
Albania,Europe,2021-09-20,849.0,162173,5.0,2574
Albania,Europe,2021-09-21,780.0,162953,6.0,2580
Albania,Europe,2021-09-22,451.0,163404,7.0,2587
Albania,Europe,2021-09-23,872.0,164276,7.0,2594
Albania,Europe,2021-09-24,820.0,165096,7.0,2601
Albania,Europe,2021-09-25,768.0,165864,8.0,2609
Albania,Europe,2021-09-26,826.0,166690,10.0,2619
Albania,Europe,2021-09-27,664.0,167354,10.0,2629
Albania,Europe,2021-09-28,539.0,167893,11.0,2640
Albania,Europe,2021-09-29,295.0,168188,13.0,2653
Albania,Europe,2021-09-30,594.0,168782,15.0,2668
Albania,Europe,2021-10-01,680.0,169462,17.0,2685
Albania,Europe,2021-10-02,669.0,170131,13.0,2698
Albania,Europe,2021-10-03,647.0,170778,7.0,2705
Albania,Europe,2021-10-04,549.0,171327,5.0,2710
Albania,Europe,2021-10-05,467.0,171794,3.0,2713
Albania,Europe,2021-10-06,207.0,172001,5.0,2718
Albania,Europe,2021-10-07,617.0,172618,7.0,2725
Albania,Europe,2021-10-08,572.0,173190,9.0,2734
Albania,Europe,2021-10-09,533.0,173723,12.0,2746
Albania,Europe,2021-10-10,445.0,174168,7.0,2753
Albania,Europe,2021-10-11,475.0,174643,6.0,2759
Albania,Europe,2021-10-12,325.0,174968,9.0,2768
Albania,Europe,2021-10-13,195.0,175163,9.0,2777
Albania,Europe,2021-10-14,501.0,175664,6.0,2783
Albania,Europe,2021-10-15,508.0,176172,5.0,2788
Albania,Europe,2021-10-16,495.0,176667,9.0,2797
Albania,Europe,2021-10-17,441.0,177108,10.0,2807
Albania,Europe,2021-10-18,428.0,177536,3.0,2810
Albania,Europe,2021-10-19,435.0,177971,10.0,2820
Albania,Europe,2021-10-20,217.0,178188,9.0,2829
Albania,Europe,2021-10-21,616.0,178804,12.0,2841
