country,region,date,new_cases,total_cases,new_deaths,total_deaths
Bangladesh,South-East Asia,2022-01-01,370.0,1585909,4.0,28076
Bangladesh,South-East Asia,2022-01-02,557.0,1586466,1.0,28077
Bangladesh,South-East Asia,2022-01-03,674.0,1587140,4.0,28081
Bangladesh,South-East Asia,2022-01-04,775.0,1587915,6.0,28087
Bangladesh,South-East Asia,2022-01-05,892.0,1588807,3.0,28090
Bangladesh,South-East Asia,2022-01-06,1140.0,1589947,7.0,28097
Bangladesh,South-East Asia,2022-01-07,1146.0,1591093,1.0,28098
Bangladesh,South-East Asia,2022-01-08,1116.0,1592209,1.0,28099
Bangladesh,South-East Asia,2022-01-09,1491.0,1593700,3.0,28102
Bangladesh,South-East Asia,2022-01-10,2231.0,1595931,3.0,28105
Bangladesh,South-East Asia,2022-01-11,2458.0,1598389,2.0,28107
Bangladesh,South-East Asia,2022-01-12,2916.0,1601305,4.0,28111
Bangladesh,South-East Asia,2022-01-13,3359.0,1604664,12.0,28123
Bangladesh,South-East Asia,2022-01-14,4378.0,1609042,6.0,28129
Bangladesh,South-East Asia,2022-01-15,3447.0,1612489,7.0,28136
Bangladesh,South-East Asia,2022-01-16,5222.0,1617711,8.0,28144
Bangladesh,South-East Asia,2022-01-17,6676.0,1624387,10.0,28154
Bangladesh,South-East Asia,2022-01-18,8407.0,1632794,10.0,28164
Bangladesh,South-East Asia,2022-01-19,9500.0,1642294,12.0,28176
Bangladesh,South-East Asia,2022-01-20,10888.0,1653182,4.0,28180
Bangladesh,South-East Asia,2022-01-21,11434.0,1664616,12.0,28192
Bangladesh,South-East Asia,2022-01-22,9614.0,1674230,17.0,28209
Bangladesh,South-East Asia,2022-01-23,10906.0,1685136,14.0,28223
Bangladesh,South-East Asia,2022-01-24,14828.0,1699964,15.0,28238
Bangladesh,South-East Asia,2022-01-25,16033.0,1715997,18.0,28256
Bangladesh,South-East Asia,2022-01-26,15527.0,1731524,17.0,28273
Bangladesh,South-East Asia,2022-01-27,15807.0,1747331,15.0,28288
Bangladesh,South-East Asia,2022-01-28,15440.0,1762771,20.0,28308
Bangladesh,South-East Asia,2022-01-29,10378.0,1773149,21.0,28329
Bangladesh,South-East Asia,2022-01-30,12183.0,1785332,34.0,28363
Bangladesh,South-East Asia,2022-01-31,13501.0,1798833,31.0,28394
Bangladesh,South-East Asia,2022-02-01,13154.0,1811987,31.0,28425
Bangladesh,South-East Asia,2022-02-02,12193.0,1824180,36.0,28461
Bangladesh,South-East Asia,2022-02-03,11596.0,1835776,33.0,28494
Bangladesh,South-East Asia,2022-02-04,9052.0,1844828,30.0,28524
Bangladesh,South-East Asia,2022-02-05,8359.0,1853187,36.0,28560
Bangladesh,South-East Asia,2022-02-06,8345.0,1861532,29.0,28589
Bangladesh,South-East Asia,2022-02-07,9369.0,1870901,38.0,28627
Bangladesh,South-East Asia,2022-02-08,8354.0,1879255,43.0,28670
Bangladesh,South-East Asia,2022-02-09,8016.0,1887271,33.0,28703
Bangladesh,South-East Asia,2022-02-10,7264.0,1894535,41.0,28744
Bangladesh,South-East Asia,2022-02-11,5268.0,1899803,27.0,28771
Bangladesh,South-East Asia,2022-02-12,5023.0,1904826,20.0,28791
Bangladesh,South-East Asia,2022-02-13,4838.0,1909664,28.0,28819
Bangladesh,South-East Asia,2022-02-14,4692.0,1914356,19.0,28838
Bangladesh,South-East Asia,2022-02-15,4746.0,1919102,34.0,28872
Bangladesh,South-East Asia,2022-02-16,3929.0,1923031,15.0,28887
Bangladesh,South-East Asia,2022-02-17,3539.0,1926570,20.0,28907
Bangladesh,South-East Asia,2022-02-18,2584.0,1929154,24.0,28931
Bangladesh,South-East Asia,2022-02-19,2150.0,1931304,13.0,28944
Bangladesh,South-East Asia,2022-02-20,1987.0,1933291,21.0,28965
Bangladesh,South-East Asia,2022-02-21,1951.0,1935242,9.0,28974
Bangladesh,South-East Asia,2022-02-22,1595.0,1936837,16.0,28990
Bangladesh,South-East Asia,2022-02-23,1298.0,1938135,5.0,28995
Bangladesh,South-East Asia,2022-02-24,1516.0,1939651,10.0,29005
Bangladesh,South-East Asia,2022-02-25,1406.0,1941057,11.0,29016
Bangladesh,South-East Asia,2022-02-26,759.0,1941816,8.0,29024
Bangladesh,South-East Asia,2022-02-27,864.0,1942680,9.0,29033
Bangladesh,South-East Asia,2022-02-28,897.0,1943577,4.0,29037
Bangladesh,South-East Asia,2022-03-01,799.0,1944376,8.0,29045
Bangladesh,South-East Asia,2022-03-02,732.0,1945108,8.0,29053
Bangladesh,South-East Asia,2022-03-03,657.0,1945765,5.0,29058
Bangladesh,South-East Asia,2022-03-04,604.0,1946369,6.0,29064
Bangladesh,South-East Asia,2022-03-05,368.0,1946737,13.0,29077
Bangladesh,South-East Asia,2022-03-06,529.0,1947266,8.0,29085
Bangladesh,South-East Asia,2022-03-07,436.0,1947702,4.0,29089
Bangladesh,South-East Asia,2022-03-08,446.0,1948148,7.0,29096
Bangladesh,South-East Asia,2022-03-09,323.0,1948471,1.0,29097
Bangladesh,South-East Asia,2022-03-10,327.0,1948798,3.0,29100
Bangladesh,South-East Asia,2022-03-11,257.0,1949055,5.0,29105
Bangladesh,South-East Asia,2022-03-12,198.0,1949253,3.0,29108
Bangladesh,South-East Asia,2022-03-13,233.0,1949486,3.0,29111
Bangladesh,South-East Asia,2022-03-14,239.0,1949725,1.0,29112
Bangladesh,South-East Asia,2022-03-15,217.0,1949942,0.0,29112
Bangladesh,South-East Asia,2022-03-16,182.0,1950124,0.0,29112
Bangladesh,South-East Asia,2022-03-17,233.0,1950357,0.0,29112
